"k","dim","sparsity","proj"
40,10,0.0495657323439898,0.437168620090624
40,11,0.0970036571409892,0.866158517065775
40,12,0.0782700470683807,0.94362093705921
40,13,0.107859427965534,1.37666257362708
40,14,0.0960937199042039,1.47850097579252
40,15,0.114302677415156,1.88719098488293
40,16,0.134953764945003,2.35072039123838
40,17,0.149306715568448,2.68627176919425
40,18,0.14444256634133,2.90676122974237
40,19,0.179112684183787,3.72393768809174
40,20,0.217949409931096,4.61958869534305
40,21,0.224911416137276,5.14685825916862
40,22,0.235340641135551,5.62383251067
40,23,0.233462856907616,6.23771742840608
40,24,0.289694263086078,7.56896845804326
40,25,0.264260757817941,7.69187631474214
40,26,0.300561459549909,9.04576026224368
40,27,0.255769052276709,8.60100070068478
40,28,0.289456886483986,10.1469473883314
40,29,0.300315381293202,10.934208394378
40,30,0.306489038378388,11.7971084130553
40,31,0.361438357903281,14.3157184728035
40,32,0.337021983164748,14.3147381843558
40,33,0.318345412742795,14.2990146182274
40,34,0.31711103235893,14.8809084040821
40,35,0.393487096748003,18.5659909843899
40,36,0.387265207517897,19.460920086364
40,37,0.400262265570905,21.371749906526
40,38,0.383698637108749,21.217786571628
40,39,0.426517076886665,24.2071348311934
40,40,0.399910706243384,24.0557962648133
40,41,0.438144451288477,27.2687668933233
40,42,0.465623432372806,30.4090145780696
40,43,0.464349558510367,31.4681916642164
40,44,0.475539988973762,33.333343169763
40,45,0.465362605435224,34.4604338179154
40,46,0.484532724667045,36.5667514654318
40,47,0.430162411207795,34.6306411166253
40,48,0.500360341722422,42.0886358645372
40,49,0.463421366224457,40.1695013462857
40,50,0.520579269284376,47.1985445077008
40,51,0.479067045865934,44.343224141583
40,52,0.551944274347464,52.808415441403
40,53,0.483679655807156,48.8232626195423
40,54,0.534242417126739,55.317857795667
40,55,0.515605712566357,55.3215974625261
40,56,0.542017236252707,61.1044846128347
40,57,0.604991657578875,70.0603999265797
40,58,0.576355233504355,69.9597537308711
40,59,0.576857101181162,73.4013930354486
40,60,0.631102622376431,82.5872604824763
41,10,0.0395406782058877,0.407895527930867
41,11,0.0787525249658739,0.841105439311643
41,12,0.118422602077049,1.23287999986917
41,13,0.0991504653985642,1.27567404487532
41,14,0.107171068904693,1.57914033977678
41,15,0.151270599501886,2.16289051537448
41,16,0.15800568448504,2.55330338264617
41,17,0.146737435678377,2.65520609230592
41,18,0.196125435489033,3.61521551671388
41,19,0.230110398524076,4.34704867613248
41,20,0.217936980897455,4.65701001129148
41,21,0.213987246574578,4.95230631820889
41,22,0.195353606872979,5.11224307539334
41,23,0.253317404596447,6.41711447360658
41,24,0.22821228839611,6.61634070425086
41,25,0.302817361715672,8.62096593302551
41,26,0.287587324261511,8.67599595258371
41,27,0.280073672162858,9.46633172249055
41,28,0.285273828547782,9.68407936203961
41,29,0.267621986747481,10.0216186315707
41,30,0.273522864098909,10.7161634051154
41,31,0.329622392387283,13.13847273732
41,32,0.315664791356035,13.3162105756377
41,33,0.350549641975121,15.6238362341254
41,34,0.297456332592044,13.8709355883236
41,35,0.373020717687496,18.0037795756238
41,36,0.337346879292177,17.0771173396927
41,37,0.378811286339166,20.4398616989383
41,38,0.395995961534212,22.1664324900611
41,39,0.408614471398851,23.7918662128817
41,40,0.450867494296987,26.6211439025951
41,41,0.429659405741667,26.6989355030998
41,42,0.455403487275303,29.2254118492883
41,43,0.462030197861994,31.3321465309503
41,44,0.458339276417566,32.1553058522778
41,45,0.447094365444535,32.9975128930099
41,46,0.486041336261304,37.3069776415427
41,47,0.450075443756614,36.0927438737192
41,48,0.481951041175448,40.0181894829811
41,49,0.547824712999752,46.5723529064363
41,50,0.465012979354775,41.7359557900904
41,51,0.499916895547404,46.4147738979518
41,52,0.54996193353685,52.8190062121275
41,53,0.551470060688193,56.0861679187285
41,54,0.536861007110761,55.7070025920891
41,55,0.519764784367932,56.9060448057842
41,56,0.537536797885283,60.3761826148281
41,57,0.577107031666304,66.3334524693208
41,58,0.586005166511092,71.3117566559992
41,59,0.602964864570544,75.3551407895151
41,60,0.654559172697503,85.8567297133666
42,10,0.0584978277873897,0.48646406977207
42,11,0.0913373791049369,0.879372087165117
