"k","dim","sparsity","proj"
10,10,0.192102906661969,1.04084845087845
10,11,0.243260338678128,1.48193610138083
10,12,0.246137947735794,1.80868260899512
10,13,0.235395057584659,2.08953337674154
10,14,0.282146177989134,2.69703215300335
10,15,0.284592220310794,3.09434991984687
10,16,0.231419351208149,3.2025974128649
10,17,0.259369609118808,3.78246342738416
10,18,0.24319262118753,3.85082727556702
10,19,0.316338962153448,5.22578416932682
10,20,0.294808918400907,5.49962049208813
10,21,0.349100648014179,6.75726326561887
10,22,0.32769311506215,7.07522629812096
10,23,0.360912414973465,8.07813408639487
10,24,0.352069715408599,8.54168211260345
10,25,0.376538083627669,9.74613594795024
10,26,0.394137608931825,10.7670702175246
10,27,0.362103498155459,10.6049129249229
10,28,0.413199017792518,12.7458855540192
10,29,0.449806524113709,14.3046157348652
10,30,0.38962872717656,13.6694487076509
10,31,0.420338424592683,15.6619844400485
10,32,0.402240114222933,16.0107187333469
10,33,0.430838030454631,17.6665359303512
10,34,0.435580993024103,19.2291984408293
10,35,0.437969961517721,19.8760259070696
10,36,0.436795336123676,21.1363046822108
10,37,0.443599209853759,22.3176779598372
10,38,0.488438630122784,25.6888559165896
10,39,0.491436168186759,27.0846058340474
10,40,0.501948160046906,29.1896448723287
10,41,0.506724379485416,30.5245080809511
10,42,0.528477787567749,33.7169990632215
10,43,0.523889242756411,34.8533989378688
10,44,0.540307980738191,37.4465666282741
10,45,0.536722518046279,39.2026825398564
10,46,0.558601562760955,42.1560063280045
10,47,0.529284692571602,42.550008131937
10,48,0.58817954093623,48.1358470607732
10,49,0.563535370713612,48.8264150414393
10,50,0.59293551048092,53.8673189119935
10,51,0.574873849993763,55.0017274091044
10,52,0.626029263019926,61.4895588352336
10,53,0.621907802657449,63.5839465222448
10,54,0.633256376811161,66.4908321099254
10,55,0.618147714554655,69.7089454651495
10,56,0.672555389881919,76.1662926306503
10,57,0.690343506969878,81.0262941726467
10,58,0.685250810992155,84.5902221716208
10,59,0.686739358774828,89.6078984392602
10,60,0.710122228663115,94.8432882053949
11,10,0.139255535435411,0.894176582641265
11,11,0.196921232656359,1.387394272967
11,12,0.188981696893464,1.60557237375137
11,13,0.272120101412184,2.2504039744387
11,14,0.205972004831949,2.15646408798285
11,15,0.259236315627033,2.98697376756438
11,16,0.268670506442284,3.4603986789967
11,17,0.272233890512023,3.91243527416919
11,18,0.307653593839902,4.58777970605961
11,19,0.300888560004342,5.11190288196608
11,20,0.298128903279658,5.56589639774471
11,21,0.313352809201858,6.37514457087409
11,22,0.33597577391394,7.13718142096793
11,23,0.335836634856286,7.69767672684773
11,24,0.311006885617275,7.92601317849299
11,25,0.341707137642044,8.90493142577151
11,26,0.341397273746708,9.67943812088208
11,27,0.371820367801704,10.9634379705022
11,28,0.391551373531024,12.3730257800263
11,29,0.365936951175741,12.3526790143226
11,30,0.401940298634317,14.3594443188684
11,31,0.376762574116359,14.5418415729135
11,32,0.389144350522986,15.5202284711423
11,33,0.421472823173388,17.6841520363849
11,34,0.442817376180746,19.2491870393156
11,35,0.428141433450633,19.9568197782525
11,36,0.463201678385251,22.4529425014016
11,37,0.453832158381098,23.0001211872345
11,38,0.474409617829977,25.18631940799
11,39,0.485188278701013,27.1808968502592
11,40,0.480710476850282,28.224280868986
11,41,0.501869695692125,30.4267047340463
11,42,0.496543712873216,32.0292277080853
11,43,0.509558753738685,34.5260297231487
11,44,0.525221814601178,36.8941451546365
11,45,0.549417385013523,39.5810453628139
11,46,0.528845806201235,40.2488382907598
11,47,0.566312033507307,45.1997877407721
11,48,0.562388410656484,48.0839840302275
11,49,0.562602667107885,49.4040852756264
11,50,0.579535033955015,54.5971443388074
11,51,0.616318221649522,57.009035565495
11,52,0.582244751638896,57.661249778109
11,53,0.613472618676134,63.4155510570848
11,54,0.606774723616092,65.4969768892192
11,55,0.631859377544647,71.3459369550074
11,56,0.650012305045123,76.1450707836362
11,57,0.669515916931372,81.7877412772253
11,58,0.665334328575734,86.5575584093314
11,59,0.689466090666216,91.0773413064189
11,60,0.702887497290484,96.2748387912272
12,10,0.168448585617056,1.03470240972873
12,11,0.199129486510454,1.39394211758965
12,12,0.207884199517999,1.65068315362873
12,13,0.197401537249599,1.84009406687668
12,14,0.241594279126646,2.49413929563773
12,15,0.223112250097334,2.6503118146355
12,16,0.259433862530156,3.33857588584961
12,17,0.27931280677844,4.0328355666626
12,18,0.3050499494214,4.65845254679473
12,19,0.305684232206897,5.19604061190169
12,20,0.308983079176743,5.63672168524175
12,21,0.336120474499591,6.55886894460974
12,22,0.345899164537427,7.22484410531233
12,23,0.366231790049803,8.26557332735463
12,24,0.334803478968636,8.11326389334894
12,25,0.364632481182285,9.12162001643141
12,26,0.357599783633207,10.1254383747729
12,27,0.377678246113475,11.1497647263316
12,28,0.381194766664201,11.9145663596943
12,29,0.377197671101406,12.6588040838411
12,30,0.398714781044904,14.2774921576677
12,31,0.381535628378822,14.5437370312724
12,32,0.404415426501544,16.4733614691491
12,33,0.403764447696303,17.0541554198327
12,34,0.420242704186648,18.6362389395617
12,35,0.448592279365844,20.9178861341105
12,36,0.434693520047083,21.0078759543743
12,37,0.466053481743131,23.7074419949138
12,38,0.458806274737656,24.2717980692049
12,39,0.487474110079666,27.1055200601218
12,40,0.499814040017879,28.9246656467007
12,41,0.444355029718714,27.574429047056
12,42,0.467931592610127,30.2932168802199
12,43,0.531681863745043,35.8333180991983
12,44,0.540054537341679,37.3544626539838
12,45,0.522726326565109,37.9033166121743
12,46,0.532761976805025,41.3684251824347
12,47,0.532128929024268,43.2535987335075
12,48,0.538076853630904,45.4216224454014
12,49,0.576100702860259,51.0253648690305
12,50,0.572601039049881,52.2576710080726
12,51,0.567031938475276,53.4593899995248
12,52,0.598944482698798,58.8880088095043
12,53,0.605870575770355,62.091229513995
12,54,0.584276538774885,62.6883008209072
12,55,0.602007464009383,69.8596748797393
12,56,0.628205305243235,74.8443520027524
12,57,0.640502914253307,78.117933826109
12,58,0.66902449851417,81.7354219014417
12,59,0.661127447159691,84.324117363987
12,60,0.668615660524084,92.0921494251487
13,10,0.188659346706014,1.01653186036207
13,11,0.181234117669246,1.32391042984912
13,12,0.183358879540957,1.60787388938234
13,13,0.200927725395795,1.96551406927657
13,14,0.262373552431076,2.62889607706393
13,15,0.255739597711718,2.98280190536019
13,16,0.330646670506995,3.6869864928074
13,17,0.275480725125579,3.87512557521824
13,18,0.289765446423915,4.59932717528532
13,19,0.298783176880808,4.94819382526307
13,20,0.24749521459602,5.02328153499435
13,21,0.34846920946419,6.53822659000354
13,22,0.314814731995853,7.06958989420905
13,23,0.357265791202946,8.09375069944324
13,24,0.336396481798842,8.30282595208018
13,25,0.368798140445006,9.51263944331757
13,26,0.36692895047533,10.4223820589772
13,27,0.37194435053229,11.0732419782077
13,28,0.352992766622799,11.1923504660299
13,29,0.368777416102821,12.2633216928049
13,30,0.394728886431667,13.7262893088583
13,31,0.429040756391751,15.9367324876371
13,32,0.426575271452435,16.7145641598642
13,33,0.427485685734395,18.1951706156406
13,34,0.439923907775346,19.2011590915401
13,35,0.456899324660955,20.5632922455312
13,36,0.454720612209394,22.007125358121
13,37,0.449005110786501,23.5409429998106
13,38,0.455700293222406,23.6937460725252
13,39,0.419164092043109,23.8504554444084
13,40,0.49225987581858,28.6601064097159
13,41,0.507845512716199,30.5125995358963
13,42,0.499945600072223,31.8889245889902
13,43,0.488865737175225,32.4357237953076
13,44,0.483137387094098,33.8654344605708
13,45,0.547258989644608,39.6817959789124
13,46,0.552273354898252,41.9520228942762
13,47,0.554287551807032,44.6190294386757
13,48,0.540080203015329,45.5038120071293
13,49,0.591822689128666,50.0520875173854
13,50,0.559607336626831,51.7044396520334
13,51,0.579850270352685,55.257513725238
13,52,0.614497293763832,59.1236121618897
13,53,0.57061092925413,61.2352946700457
13,54,0.59690934689742,65.1846113631252
13,55,0.59670616080044,67.9805475054122
13,56,0.635486109221088,75.1035224552884
13,57,0.669397827839715,82.3899447996799
13,58,0.672580424394786,86.0113260074995
